#Table: J/PASP/110/863/k2v.dat.gz (cdsarc.u-strasbg.fr)
-------------------------------------------------------------------
 lambda|    nflam|  sdnflam|       fi|       fg|       fp|      fd1
 2375.0| 0.019637| 0.000000| 0.019637| 0.000000| 0.000000| 0.000000
 2380.0| 0.022045| 0.000000| 0.022045| 0.000000| 0.000000| 0.000000
 2385.0| 0.022952| 0.000000| 0.022952| 0.000000| 0.000000| 0.000000
 2390.0| 0.021048| 0.000000| 0.021048| 0.000000| 0.000000| 0.000000
 2395.0| 0.018756| 0.000000| 0.018756| 0.000000| 0.000000| 0.000000
 2400.0| 0.021812| 0.000000| 0.021812| 0.000000| 0.000000| 0.000000
 2405.0| 0.020935| 0.000000| 0.020935| 0.000000| 0.000000| 0.000000
 2410.0| 0.020440| 0.000000| 0.020440| 0.000000| 0.000000| 0.000000
 2415.0| 0.018845| 0.000000| 0.018845| 0.000000| 0.000000| 0.000000
 2420.0| 0.016644| 0.000000| 0.016644| 0.000000| 0.000000| 0.000000
 2425.0| 0.018093| 0.000000| 0.018093| 0.000000| 0.000000| 0.000000
 2430.0| 0.020954| 0.000000| 0.020954| 0.000000| 0.000000| 0.000000
 2435.0| 0.020961| 0.000000| 0.020961| 0.000000| 0.000000| 0.000000
 2440.0| 0.019670| 0.000000| 0.019670| 0.000000| 0.000000| 0.000000
 2445.0| 0.022565| 0.000000| 0.022565| 0.000000| 0.000000| 0.000000
 2450.0| 0.023361| 0.000000| 0.023361| 0.000000| 0.000000| 0.000000
 2455.0| 0.022548| 0.000000| 0.022548| 0.000000| 0.000000| 0.000000
 2460.0| 0.021735| 0.000000| 0.021735| 0.000000| 0.000000| 0.000000
 2465.0| 0.020498| 0.000000| 0.020498| 0.000000| 0.000000| 0.000000
 2470.0| 0.019970| 0.000000| 0.019970| 0.000000| 0.000000| 0.000000
 2475.0| 0.020037| 0.000000| 0.020037| 0.000000| 0.000000| 0.000000
 2480.0| 0.021241| 0.000000| 0.021241| 0.000000| 0.000000| 0.000000
 2485.0| 0.019015| 0.000000| 0.019015| 0.000000| 0.000000| 0.000000
 2490.0| 0.016462| 0.000000| 0.016462| 0.000000| 0.000000| 0.000000
 2495.0| 0.019530| 0.000000| 0.019530| 0.000000| 0.000000| 0.000000
 2500.0| 0.024548| 0.000000| 0.024548| 0.000000| 0.000000| 0.000000
 2505.0| 0.025634| 0.000000| 0.025634| 0.000000| 0.000000| 0.000000
 2510.0| 0.024761| 0.000000| 0.024761| 0.000000| 0.000000| 0.000000
 2515.0| 0.022948| 0.000000| 0.022948| 0.000000| 0.000000| 0.000000
 2520.0| 0.019325| 0.000000| 0.019325| 0.000000| 0.000000| 0.000000
 2525.0| 0.018287| 0.000000| 0.018287| 0.000000| 0.000000| 0.000000
 2530.0| 0.021461| 0.000000| 0.021461| 0.000000| 0.000000| 0.000000
 2535.0| 0.025319| 0.000000| 0.025319| 0.000000| 0.000000| 0.000000
 2540.0| 0.028156| 0.000000| 0.028156| 0.000000| 0.000000| 0.000000
 2545.0| 0.028560| 0.000000| 0.028560| 0.000000| 0.000000| 0.000000
 2550.0| 0.030418| 0.000000| 0.030418| 0.000000| 0.000000| 0.000000
 2555.0| 0.034087| 0.000000| 0.034087| 0.000000| 0.000000| 0.000000
 2560.0| 0.036751| 0.000000| 0.036751| 0.000000| 0.000000| 0.000000
 2565.0| 0.039607| 0.000000| 0.039607| 0.000000| 0.000000| 0.000000
 2570.0| 0.040381| 0.000000| 0.040381| 0.000000| 0.000000| 0.000000
 2575.0| 0.036852| 0.000000| 0.036852| 0.000000| 0.000000| 0.000000
 2580.0| 0.023074| 0.000000| 0.023074| 0.000000| 0.000000| 0.000000
 2585.0| 0.028802| 0.000000| 0.028802| 0.000000| 0.000000| 0.000000
 2590.0| 0.042585| 0.000000| 0.042585| 0.000000| 0.000000| 0.000000
 2595.0| 0.045649| 0.000000| 0.045649| 0.000000| 0.000000| 0.000000
 2600.0| 0.044725| 0.000000| 0.044725| 0.000000| 0.000000| 0.000000
 2605.0| 0.043898| 0.000000| 0.043898| 0.000000| 0.000000| 0.000000
 2610.0| 0.043069| 0.000000| 0.043069| 0.000000| 0.000000| 0.000000
 2615.0| 0.042272| 0.000000| 0.042272| 0.000000| 0.000000| 0.000000
 2620.0| 0.043734| 0.000000| 0.043734| 0.000000| 0.000000| 0.000000
 2625.0| 0.044248| 0.000000| 0.044248| 0.000000| 0.000000| 0.000000
 2630.0| 0.045155| 0.000000| 0.045155| 0.000000| 0.000000| 0.000000
 2635.0| 0.044778| 0.000000| 0.044778| 0.000000| 0.000000| 0.000000
 2640.0| 0.046858| 0.000000| 0.046858| 0.000000| 0.000000| 0.000000
